path,size,last_commit,category
.gitignore,48,2025-06-10 19:19:43 -0700,other
ANALYSIS_SUMMARY.md,9109,2025-06-12 20:45:09 -0700,docs
analyze_scars.py,2138,2025-06-11 03:58:09 -0700,code
CHANGELOG.md,12917,2025-06-11 02:51:55 -0700,docs
check_gpu.py,503,2025-06-12 20:45:09 -0700,code
COMPLETE_DOCUMENTATION_SUMMARY.md,18721,2025-06-12 20:45:09 -0700,docs
comprehensive_stress_test.py,16608,2025-06-10 19:37:30 -0700,code
continued_stress_test_results.json,1060,2025-06-11 02:51:55 -0700,data
continue_stress_test.py,14820,2025-06-10 19:37:30 -0700,code
crash_test_55c60b3d.db,2139590656,,db
crash_test_76fe2f8a.db,1137438720,,db
crash_test_8e8d3794.db,14045184,,db
crash_test_a9f59eb4.db,55115776,,db
crash_test_kimera.py,26395,2025-06-12 20:45:09 -0700,code
dashboard_cheatsheet.html,7006,2025-06-11 02:51:55 -0700,docs
dashboard_guide.html,22519,2025-06-11 02:51:55 -0700,docs
data_injection_guide.md,20055,2025-06-12 20:45:09 -0700,docs
deep_analysis.py,30412,2025-06-12 20:45:09 -0700,code
DEEP_ANALYSIS_RESULTS.md,16925,2025-06-12 20:45:09 -0700,docs
DOCUMENTATION_INDEX.md,5774,2025-06-12 20:45:09 -0700,docs
entropy_analysis.py,7864,2025-06-10 19:37:30 -0700,code
entropy_formulas.py,15042,2025-06-10 19:37:30 -0700,code
entropy_math_validation.py,20699,2025-06-10 19:37:30 -0700,code
entropy_stress_results.json,1965,2025-06-12 20:45:09 -0700,data
entropy_stress_test.py,28413,2025-06-10 19:37:30 -0700,code
entropy_validation_results.json,1251,2025-06-11 02:51:55 -0700,data
entropy_validation_summary.py,6359,2025-06-10 19:37:30 -0700,code
extreme_market_scenarios.py,27163,2025-06-12 20:45:09 -0700,code
financial_api_integration.py,20158,2025-06-12 20:45:09 -0700,code
FINANCIAL_API_SETUP_GUIDE.md,12337,2025-06-12 20:45:09 -0700,docs
financial_config.py,6388,2025-06-12 20:45:09 -0700,code
financial_demo.py,14642,2025-06-12 20:45:09 -0700,code
FINANCIAL_TESTING.md,17766,2025-06-12 20:45:09 -0700,docs
high_volatility_test.py,21534,2025-06-12 20:45:09 -0700,code
kimera_deep_analysis_20250612_001422.json,8123,2025-06-12 20:45:09 -0700,data
kimera_swm.db,61448192,,db
kimera_swm.db-shm,32768,2025-06-12 20:45:09 -0700,db
kimera_swm.db-wal,4148872,2025-06-12 20:45:09 -0700,db
launch_dashboard.py,2321,2025-06-10 19:37:30 -0700,code
launch_monitoring.py,4812,2025-06-10 19:37:30 -0700,code
LICENSE,1090,2025-06-08 04:48:58 +0100,other
monitoring_dashboard.html,33537,2025-06-11 02:51:55 -0700,docs
MONITORING_SYSTEM_GUIDE.md,13649,2025-06-10 19:24:30 -0700,docs
open_all_dashboards.py,2584,2025-06-10 19:37:30 -0700,code
open_dashboard.py,1057,2025-06-10 19:37:30 -0700,code
progressive_crash_results.json,1424,2025-06-12 20:45:09 -0700,data
progressive_crash_test.py,13674,2025-06-10 19:37:30 -0700,code
PROJECT_MANIFEST.md,14653,2025-06-10 19:24:30 -0700,docs
quick_test_guide.md,3328,2025-06-10 19:24:30 -0700,docs
README.md,12415,2025-06-10 19:24:30 -0700,docs
real_time_dashboard.html,26238,2025-06-11 02:51:55 -0700,docs
requirements.txt,3147,2025-06-12 21:19:49 -0700,docs
ROADMAP_RECONTEXTUALIZATION.md,9340,2025-06-12 20:45:09 -0700,docs
robust_stress_test.db,32768,,db
robust_stress_test.py,19578,2025-06-10 19:37:30 -0700,code
run_kimera.py,1694,2025-06-10 19:37:30 -0700,code
serve_dashboard.py,1336,2025-06-10 19:37:30 -0700,code
setup.py,133,2025-06-12 20:45:09 -0700,code
simple_volatility_analysis.py,27051,2025-06-12 20:45:09 -0700,code
stress_test.db,4510339072,,db
STRESS_TESTING.md,13140,2025-06-12 20:45:09 -0700,docs
stress_test_analysis.md,7246,2025-06-12 20:45:09 -0700,docs
stress_test_e555aad1.db,4612096,,db
stress_test_vault.db,16269312,,db
stress_test_vault.db-journal,8720,,db
stress_test_vault.py,5287,2025-06-12 20:45:09 -0700,code
SYSTEM_ARCHITECTURE.md,10727,2025-06-12 20:45:09 -0700,docs
test_dashboard.html,8079,2025-06-11 02:51:55 -0700,docs
TEST_EXECUTION_LOGS.md,22125,2025-06-12 20:45:09 -0700,docs
test_financial_comprehensive.py,13280,2025-06-12 20:45:09 -0700,code
test_financial_simple.py,8117,2025-06-12 20:45:09 -0700,code
test_kimera_demo.py,9628,2025-06-10 19:37:30 -0700,code
test_model.py,167,2025-06-12 20:45:09 -0700,code
test_monitoring_system.py,12496,2025-06-12 20:45:09 -0700,code
vault.db,20480,,db
vault_inspection_report.json,1158,2025-06-12 20:45:09 -0700,data
volatility_analysis.py,29720,2025-06-12 20:45:09 -0700,code
volatility_analysis_20250612_001220.json,1124,2025-06-12 20:45:09 -0700,data
.git/COMMIT_EDITMSG,108,,other
.git/config,977,,other
.git/description,73,,other
.git/FETCH_HEAD,11689,,other
.git/HEAD,51,,other
.git/index,26283,,other
.git/ORIG_HEAD,41,,other
.git/packed-refs,7621,,other
.pytest_cache/.gitignore,39,,other
.pytest_cache/CACHEDIR.TAG,191,,other
.pytest_cache/README.md,310,,docs
.venv/.gitignore,71,,other
.venv/pyvenv.cfg,314,,other
backend/__init__.py,30,2025-06-10 19:37:30 -0700,code
config/optimized_settings.json,462,2025-06-12 20:45:09 -0700,data
dashboard/app.js,4163,2025-06-11 02:51:55 -0700,other
dashboard/index.html,669,2025-06-08 18:21:08 +0100,docs
dashboard/README.md,1318,2025-06-09 22:26:02 +0100,docs
dashboard/simple_dashboard.html,15401,2025-06-11 02:51:55 -0700,docs
docs/README.md,7576,2025-06-10 19:24:30 -0700,docs
kimera_swm_mvp/README.md,267,2025-06-08 23:24:03 +0100,docs
kimera_swm_mvp/requirements.txt,42,2025-06-08 04:57:53 +0100,docs
kimera_swm_mvp.egg-info/dependency_links.txt,1,2025-06-12 20:45:09 -0700,docs
kimera_swm_mvp.egg-info/PKG-INFO,107,2025-06-12 20:45:09 -0700,other
kimera_swm_mvp.egg-info/SOURCES.txt,1525,2025-06-12 20:45:09 -0700,docs
kimera_swm_mvp.egg-info/top_level.txt,8,2025-06-12 20:45:09 -0700,docs
optimization/benchmark_results.json,11635,2025-06-12 20:45:09 -0700,data
optimization/optimized_contradiction_engine.py,17500,2025-06-12 20:45:09 -0700,code
optimization/optimized_vault_manager.py,18449,2025-06-12 20:45:09 -0700,code
optimization/performance_benchmark.py,18247,2025-06-12 20:45:09 -0700,code
optimization/performance_optimizer.py,23194,2025-06-12 20:45:09 -0700,code
report_kimera/README.md,257,2025-06-11 02:51:55 -0700,docs
report_kimera/stress_test_kimera.py,1254,2025-06-10 19:37:30 -0700,code
Resources/A Formal Description of Spherical Word Methodology (SWM) Theory.md,33788,2025-06-12 20:45:09 -0700,docs
Resources/archetypes.json,775,2025-06-12 20:45:09 -0700,data
Resources/Comprehensive Analysis_ Semantic Thermodynamic Ent.pdf,277605,2025-06-11 02:51:55 -0700,other
Resources/Document sans titre.md,114308,2025-06-11 02:51:55 -0700,docs
Resources/EcoForm_20Engineering_20Specification.pdf.pdf,403679,2025-06-11 02:51:55 -0700,other
Resources/EcoForm_Engineering_Specification.md,9204,2025-06-12 20:45:09 -0700,docs
Resources/Engineering Analysis of Semantic Thermodynamic Sys.pdf,277054,2025-06-11 02:51:55 -0700,other
Resources/Engineering Analysis of Semantic Thermodynamic Systems A Zetetic Perspective.md,7098,2025-06-12 20:45:09 -0700,docs
Resources/Engineering Evolution of KIMERA SWM Coherent.pdf,358319,2025-06-11 02:51:55 -0700,other
Resources/Engineering Solutions for Semantic Thermodynamics in Cognitive Systems.pdf,80457,2025-06-11 02:51:55 -0700,other
Resources/Enhancing Kimera SWM with Cognitive Architecture Innovations.md,29608,2025-06-12 20:45:09 -0700,docs
Resources/Enhancing Kimera SWM with Cognitive Architecture Innovations.pdf,65924,2025-06-11 02:51:55 -0700,other
Resources/Integrating Entropy-Based Complexity Models into Kimera SWM’s Cognitive Architecture.md,29487,2025-06-12 20:45:09 -0700,docs
Resources/Integrating Entropy-Based Complexity Models into Kimera SWM’s Cognitive Architecture.pdf,66756,2025-06-11 02:51:55 -0700,other
Resources/Integrating Semantic Thermodynamic Principles into the Kimera SWM Framework.md,4465,2025-06-12 20:45:09 -0700,docs
Resources/Integrating Semantic Thermodynamic Principles into.pdf,366272,2025-06-11 02:51:55 -0700,other
Resources/Kccl origine V1.md,43560,2025-06-12 20:45:09 -0700,docs
Resources/Kccl origine V1.pdf.pdf,728763,2025-06-11 02:51:55 -0700,other
Resources/Kimera Architecture.md,97260,2025-06-12 20:45:09 -0700,docs
Resources/Kimera ARCHITECTURE.pdf,2773627,2025-06-11 02:51:55 -0700,other
